ID,Name,Country,Latitude,Longitude,cyan,magenta,yellow,black,earthResonance,activeLayer,layerFrequency,layerDepth,tectonicZone,tectonicAmplification,isDeepSubduction,pWaveVelocity,red,green,blue,spaceResonance,angleOfIncidence,ionosphericHeight,solarDeclination,solarElevation,hourAngle,lagTimeHours,solarFluxFactor,solarCyclePhase,compositeResonance,earthSpaceCoupling,timestamp,nearbyEarthquakes
41,Fort de Bregille,France,47.2333,6.0333,0.6953,0.6128,0.7873,0.5556,0.4798,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3686,0.4188,0.305,0.1702,90.0,84.2502,-10.511,-19.4066,107.2833,22.0993,0.1845,0.5665,0.325,0.0817,2026-02-23T18:45:45.940444,0
42,Fort de Chaudanne,France,47.24,6.0167,0.6953,0.6128,0.7872,0.5556,0.4798,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3686,0.4189,0.3049,0.1703,90.0,84.2498,-10.511,-19.3947,107.2667,22.0996,0.1845,0.5665,0.3251,0.0817,2026-02-23T18:45:45.940444,0
43,Fort de La Hougue,France,49.5833,-1.2667,0.6953,0.6255,0.7679,0.5556,0.48,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3768,0.449,0.2973,0.1764,90.0,84.1098,-10.511,-14.442,99.9833,22.2037,0.1845,0.5665,0.3282,0.0847,2026-02-23T18:45:45.940444,0
44,Citadelle d'Entrevaux,France,44.0,6.8167,0.6953,0.6103,0.8039,0.5556,0.4816,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3672,0.3777,0.3105,0.1647,90.0,84.3578,-10.511,-20.2467,108.0667,21.9556,0.1845,0.5665,0.3231,0.0793,2026-02-23T18:45:45.940444,0
45,Fort de Sainte-Adresse,France,49.5,0.0833,0.6953,0.6233,0.77,0.5556,0.4798,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3754,0.4477,0.2982,0.1759,90.0,84.1243,-10.511,-15.3195,101.3333,22.2,0.1845,0.5665,0.3278,0.0844,2026-02-23T18:45:45.940444,0
46,Fort de Tourneville,France,49.5,0.1167,0.6953,0.6233,0.77,0.5556,0.4798,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3753,0.4477,0.2982,0.1759,90.0,84.1246,-10.511,-15.3412,101.3667,22.2,0.1845,0.5665,0.3278,0.0844,2026-02-23T18:45:45.940444,0
47,Fort de la Pree,France,46.2,-1.3667,0.6953,0.6244,0.7841,0.5556,0.4819,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3769,0.4071,0.3024,0.171,90.0,84.2184,-10.511,-14.3872,99.8833,22.0533,0.1845,0.5665,0.3265,0.0824,2026-02-23T18:45:45.940444,0
48,Fort des Salettes,France,44.8833,6.65,0.6953,0.6109,0.7994,0.5556,0.4811,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3675,0.389,0.309,0.1662,90.0,84.3294,-10.511,-20.0507,107.9,21.9948,0.1845,0.5665,0.3236,0.08,2026-02-23T18:45:45.940444,0
49,The Fortifications of Toulon,France,43.1167,5.9333,0.6953,0.6113,0.8074,0.5556,0.4823,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3681,0.3664,0.3114,0.1636,90.0,84.3767,-10.511,-19.6771,107.1833,21.9163,0.1845,0.5665,0.323,0.0789,2026-02-23T18:45:45.940444,0
50,Fort Vallières,France,51.0333,2.3833,0.6953,0.5076,0.7649,0.4073,0.4514,upper_crust,20.8,10,,1.0,False,6.3857,0.373,0.4659,0.2971,0.1778,90.0,84.093,-10.511,-16.713,103.6333,22.2681,0.1845,0.5665,0.3146,0.0803,2026-02-23T18:45:45.940444,0
51,Citadelle Vauban,France,47.35,-3.15,0.6953,0.6277,0.7762,0.5556,0.4816,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3789,0.4219,0.2994,0.1734,90.0,84.1663,-10.511,-13.1814,98.1,22.1044,0.1845,0.5665,0.3275,0.0835,2026-02-23T18:45:45.940444,0
52,Kastellet,Denmark,55.6911,12.5953,0.6953,0.4924,0.7485,0.4073,0.4463,upper_crust,20.8,10,,1.0,False,6.3857,0.3642,0.5189,0.2935,0.1832,90.0,84.0188,-10.511,-22.0075,113.8453,22.4752,0.1845,0.5665,0.3147,0.0818,2026-02-23T18:45:45.940444,0
53,Fredericia Ramparts,Denmark,55.5667,9.75,0.6953,0.497,0.7478,0.4073,0.447,upper_crust,20.8,10,,1.0,False,6.3857,0.3668,0.5177,0.2929,0.1836,90.0,83.9986,-10.511,-20.4689,111.0,22.4696,0.1845,0.5665,0.3153,0.0821,2026-02-23T18:45:45.940444,0
54,Nyborg Fortress,Denmark,55.3167,10.7833,0.6953,0.4952,0.7496,0.4073,0.4469,upper_crust,20.8,10,,1.0,False,6.3857,0.3657,0.5148,0.2936,0.1829,90.0,84.0166,-10.511,-21.094,112.0333,22.4585,0.1845,0.5665,0.3149,0.0817,2026-02-23T18:45:45.940444,0
55,Fredrikstad Fortress,Norway,59.2167,10.95,0.6953,0.496,0.7295,0.4073,0.4443,upper_crust,20.8,10,,1.0,False,6.3857,0.3671,0.5571,0.2872,0.1897,90.0,83.8749,-10.511,-20.295,112.2,22.6319,0.1845,0.5665,0.317,0.0843,2026-02-23T18:45:45.940444,0
56,Fredriksvern,Norway,59.0,10.0333,0.6953,0.4975,0.7302,0.4073,0.4447,upper_crust,20.8,10,,1.0,False,6.3857,0.3678,0.5548,0.2873,0.1895,90.0,83.875,-10.511,-19.8878,111.2833,22.6222,0.1845,0.5665,0.3171,0.0843,2026-02-23T18:45:45.940444,0
57,Kongsvinger Fortress,Norway,60.2,12.0,0.6953,0.4946,0.7248,0.4073,0.4434,upper_crust,20.8,10,,1.0,False,6.3857,0.3666,0.5671,0.2858,0.1912,90.0,83.847,-10.511,-20.5599,113.25,22.6756,0.1845,0.5665,0.3173,0.0848,2026-02-23T18:45:45.940444,0
58,Kristiansten Fortress,Norway,63.4333,10.4167,0.6953,0.4979,0.7073,0.4073,0.4417,upper_crust,20.8,10,,1.0,False,6.3857,0.3692,0.5989,0.2801,0.1969,90.0,83.7089,-10.511,-18.9968,111.6667,22.8193,0.1845,0.5665,0.3193,0.087,2026-02-23T18:45:45.940444,0
59,Vardøhus Fortress,Norway,70.3667,31.0833,0.6953,0.4912,0.6706,0.4073,0.4356,upper_crust,20.8,10,,1.0,False,6.3857,0.3622,0.79,0.2692,0.229,90.0,83.6079,-10.511,-23.2222,132.3333,23.1274,0.1845,0.5665,0.3323,0.0998,2026-02-23T18:45:45.940444,0
60,Daugavgr?va Fortress,Latvia,57.05,24.0333,0.6953,0.4912,0.7425,0.4073,0.4452,upper_crust,20.8,10,,1.0,False,6.3857,0.355,0.5342,0.2923,0.1832,90.0,84.068,-10.511,-27.5149,125.2833,22.5356,0.1845,0.5665,0.3142,0.0816,2026-02-23T18:45:45.940444,0
61,Daugavpils Fortress,Latvia,55.8833,26.5,0.6953,0.4912,0.7478,0.4073,0.4459,upper_crust,20.8,10,,1.0,False,6.3857,0.3521,0.5216,0.294,0.1805,90.0,84.1314,-10.511,-29.2517,127.75,22.4837,0.1845,0.5665,0.3132,0.0805,2026-02-23T18:45:45.940444,0
62,Riga Old Town,Latvia,56.95,24.1167,0.6953,0.4912,0.743,0.4073,0.4453,upper_crust,20.8,10,,1.0,False,6.3857,0.3549,0.5331,0.2924,0.183,90.0,84.0723,-10.511,-27.5986,125.3667,22.5311,0.1845,0.5665,0.3141,0.0815,2026-02-23T18:45:45.940444,0
63,Pärnu Vallikäär,Estonia,58.3833,24.5,0.6953,0.4912,0.7354,0.4073,0.4442,upper_crust,20.8,10,,1.0,False,6.3857,0.3556,0.5485,0.29,0.1856,90.0,84.0228,-10.511,-27.161,125.75,22.5948,0.1845,0.5665,0.3149,0.0824,2026-02-23T18:45:45.940444,0
64,Tartu Tähetorn,Estonia,58.3667,26.7167,0.6953,0.4912,0.7349,0.4073,0.4441,upper_crust,20.8,10,,1.0,False,6.3857,0.3539,0.5486,0.2898,0.1851,90.0,84.0422,-10.511,-28.2011,127.9667,22.5941,0.1845,0.5665,0.3146,0.0822,2026-02-23T18:45:45.940444,0
65,Paldiski Muula mäed,Estonia,59.35,24.0667,0.6953,0.4912,0.7305,0.4073,0.4435,upper_crust,20.8,10,,1.0,False,6.3857,0.3567,0.5586,0.2884,0.1874,90.0,83.983,-10.511,-26.5323,125.3167,22.6378,0.1845,0.5665,0.3155,0.0831,2026-02-23T18:45:45.940444,0
66,Birai Castle,Lithuania,56.2,24.75,0.6953,0.4912,0.7467,0.4073,0.4458,upper_crust,20.8,10,,1.0,False,6.3857,0.3538,0.5249,0.2936,0.1814,90.0,84.105,-10.511,-28.2349,126.0,22.4978,0.1845,0.5665,0.3136,0.0809,2026-02-23T18:45:45.940444,0
