ID,Name,Country,Latitude,Longitude,Region,red,green,blue,spaceResonance,angleOfIncidence,ionosphericHeight,solarDeclination,solarElevation,hourAngle,lagTimeHours,solarFluxFactor,solarCyclePhase
95,Fort Victoria,Indonesia,-3.7,128.1833,Asia,0.3363,0.0019,0.3486,0.1303,90.0,85.0,-10.511,-38.7788,229.4333,20.1644,0.1845,0.5665
96,Fort Nassau,Indonesia,-4.5167,129.8833,Asia,0.3394,0.0032,0.3459,0.1312,90.0,85.0,-10.511,-36.92,231.1333,20.2007,0.1845,0.5665
97,Fort Oranje,Indonesia,-0.7833,127.3833,Asia,0.3337,0.0001,0.3521,0.1296,90.0,85.0,-10.511,-40.3332,228.6333,20.0348,0.1845,0.5665
98,Fort Marlborough,Indonesia,-3.7833,-102.25,Asia,0.5396,0.0015,0.3148,0.2845,7.0889,84.216,-10.511,83.1996,-1.0,9.1133,0.1845,0.5665
99,Fort Vastenburg,Indonesia,-7.5667,110.8167,Asia,0.312,0.0177,0.3563,0.1227,90.0,85.0,-10.511,-53.3152,212.0667,20.3363,0.1845,0.5665
100,Fort Cornwallis,Malaysia,5.4167,100.3333,Asia,0.2875,0.0087,0.3666,0.1151,90.0,85.0,-10.511,-68.0359,201.5833,20.2407,0.1845,0.5665
101,Gory?kaku,Japan,41.8,140.75,Asia,0.3546,0.4181,0.3167,0.1666,90.0,85.0,-10.511,-27.7554,242.0,21.8578,0.1845,0.5665
102,Hekirichi Bastion Fort,Japan,41.8167,140.65,Asia,0.3545,0.4183,0.3168,0.1666,90.0,85.0,-10.511,-27.8253,241.9,21.8585,0.1845,0.5665
103,Tatsuoka Castle,Japan,36.2,138.4833,Asia,0.3501,0.3452,0.3249,0.1562,90.0,85.0,-10.511,-30.5071,239.7333,21.6089,0.1845,0.5665
104,Temple Mount,Israel,31.7778,35.2356,Asia,0.3266,0.2216,0.3297,0.1363,90.0,84.9279,-10.511,-44.6051,136.4856,21.4123,0.1845,0.5665
105,Forte de Barém,Bahrain,26.2333,50.5333,Asia,0.3025,0.1588,0.3226,0.1233,90.0,85.0,-10.511,-59.0683,151.7833,21.1659,0.1845,0.5665
106,Fort Nossa Senhora da Vitória,Angola,-10.7333,13.75,Africa,0.3643,0.0649,0.364,0.1413,90.0,85.0,-10.511,-21.98,115.0,20.477,0.1845,0.5665
107,Fortress of Muxima,Angola,-9.5,13.9167,Africa,0.3634,0.0547,0.3657,0.1409,90.0,85.0,-10.511,-22.4747,115.1667,20.4222,0.1845,0.5665
108,Fortress of Kambambe,Angola,-9.75,14.4833,Africa,0.3627,0.0567,0.3658,0.1407,90.0,85.0,-10.511,-22.9444,115.7333,20.4333,0.1845,0.5665
109,Fort São Filipe,Angola,-12.5833,13.4,Africa,0.3657,0.0815,0.3614,0.1421,90.0,85.0,-10.511,-21.1299,114.65,20.5593,0.1845,0.5665
110,Fort São Francisco do Penedo,Angola,-15.2,12.15,Africa,0.3689,0.1073,0.3571,0.1439,90.0,85.0,-10.511,-19.2077,113.4,20.6756,0.1845,0.5665
111,Quicombo Fort,Angola,-12.3667,13.7833,Africa,0.365,0.0795,0.3619,0.1419,90.0,85.0,-10.511,-21.5505,115.0333,20.5496,0.1845,0.5665
112,Fort São José,Angola,-6.2667,14.25,Africa,0.3615,0.0316,0.3698,0.14,90.0,85.0,-10.511,-23.631,115.5,20.2785,0.1845,0.5665
113,Fort James,Antigua and Barbuda,17.1167,-61.8333,Other,0.4713,0.084,0.3528,0.2282,48.7724,84.3755,-10.511,42.241,39.4167,15.2637,0.1845,0.5665
114,Cacheu Fort,Guinea-Bissau,12.2667,-16.1667,Africa,0.4051,0.0287,0.3245,0.155,88.2031,84.8023,-10.511,2.4981,85.0833,20.3056,0.1845,0.5665
115,São José,Guinea-Bissau,11.8667,-15.5833,Africa,0.4043,0.0262,0.3256,0.1542,88.6615,84.811,-10.511,2.0166,85.6667,20.3489,0.1845,0.5665
116,Borj Nord,Morocco,34.0667,-4.9833,Africa,0.3825,0.2512,0.3169,0.1561,90.0,84.5275,-10.511,-11.0166,96.2667,21.5141,0.1845,0.5665
117,El Jadida,Morocco,33.2333,-8.5,Africa,0.3875,0.2415,0.3146,0.1568,90.0,84.517,-10.511,-8.0152,92.75,21.477,0.1845,0.5665
118,Nossa Senhora da Conceição,Mozambique,-23.8667,35.3833,Africa,0.3418,0.2052,0.3403,0.1402,90.0,85.0,-10.511,-35.4396,136.6333,21.0607,0.1845,0.5665
119,Nossa Senhora da Conceição de Lourenço Marques,Mozambique,-25.9667,32.5833,Africa,0.3473,0.2323,0.3396,0.1442,90.0,85.0,-10.511,-32.1627,133.8333,21.1541,0.1845,0.5665
120,Santo António,Mozambique,-12.3333,40.5833,Africa,0.3247,0.0762,0.3468,0.1276,90.0,85.0,-10.511,-45.7431,141.8333,20.5481,0.1845,0.5665
121,São Caetano,Mozambique,-20.15,34.7333,Africa,0.3393,0.1603,0.3454,0.1364,90.0,85.0,-10.511,-36.9381,135.9833,20.8956,0.1845,0.5665
122,São Marçal,Mozambique,-25.9667,32.4667,Africa,0.3474,0.2324,0.3397,0.1442,90.0,85.0,-10.511,-32.0748,133.7167,21.1541,0.1845,0.5665
123,São Tiago Maior,Mozambique,-23.8667,35.35,Africa,0.3419,0.2052,0.3403,0.1402,90.0,85.0,-10.511,-35.4143,136.6,21.0607,0.1845,0.5665
124,São João Baptista de Ajudá,Benin,6.3667,-2.0833,Africa,0.384,0.0031,0.3481,0.1465,90.0,84.9664,-10.511,-10.1309,99.1667,20.283,0.1845,0.5665
125,Fort Anne,Canada,44.7417,-65.5183,Americas,0.4442,0.423,0.3079,0.2258,66.6041,83.7346,-10.511,26.0081,35.7317,18.8691,0.1845,0.5665
126,Fort Beauséjour,Canada,45.8667,-64.2833,Americas,0.4419,0.436,0.3063,0.2248,68.0892,83.7088,-10.511,24.5881,36.9667,19.1171,0.1845,0.5665
127,Fort George,Canada,43.25,-79.0667,Americas,0.4552,0.4147,0.3044,0.2371,59.9768,83.6844,-10.511,32.5575,22.1833,17.9191,0.1845,0.5665
128,Fort Mississauga,Canada,43.2667,-79.0833,Americas,0.4551,0.4149,0.3044,0.2371,59.9875,83.6838,-10.511,32.5479,22.1667,17.9213,0.1845,0.5665
